,Feed Flow to DB,Reboiler o/l Temp,Column top Temp,Reboiling steam flow,Reflux flow,Column Top pressure,Column bottom temp,Control tay temp,C4H6 in DB bottom,C4H8 in DB bottom
Date /Time ,1145FIC1101,1150TI1107,1150TI1202,1150FIC1101,1150FIC1202,1150PIC1101,1150TI1105,1150TIC1101,1150AI14011F,1150AI14011G
,TPH,øC,øC,TPH,TPH,kg/cmýg,øC,øC,Wt%,Wt%
2023-06-25 16:00:00.000,88.53613383,30.45466109,104.9263661,20.32819504,92.06196196,4.287742909,104.3621213,59.42188021,2.10114E-06,0.808214378
2023-06-25 17:00:00.000,92.49666343,31.06976226,104.8965729,20.70708115,91.99201392,4.326866268,104.3622952,59.95118447,2.10114E-06,0.846339379
2023-06-25 18:00:00.000,92.98321818,31.74522182,105.0942493,20.75158536,91.99046271,4.352988455,104.590003,60.3118051,2.10114E-06,0.886183488
2023-06-25 19:00:00.000,93.56780244,32.13213421,105.0272742,20.71325447,92.0115067,4.357168394,104.5240922,60.29154677,2.10114E-06,0.914655483
2023-06-25 20:00:00.000,92.92728206,31.76624864,104.8510932,20.70962751,91.96801113,4.344076874,104.3637645,60.02020373,2.10114E-06,0.962713065
2023-06-25 21:00:00.000,91.92737517,31.39196518,104.8972931,20.45586141,92.0887841,4.329220433,104.4398892,60.05109316,2.10114E-06,0.884405409
2023-06-25 22:00:00.000,93.47647657,31.09987812,104.0850795,20.81230525,92.0573058,4.319802405,103.5530445,59.32237036,2.10114E-06,0.930815247
2023-06-25 23:00:00.000,90.41371264,30.91592465,104.7312675,20.92101683,91.99128917,4.299335473,104.1895366,59.40359787,2.10114E-06,0.970950472
2023-06-26 00:00:00.000,85.14600263,30.78274836,105.2954221,20.24856645,92.0815565,4.275071039,104.7585406,59.39098938,2.10114E-06,0.73227914
2023-06-26 01:00:00.000,91.73885976,30.66112289,104.7720416,21.04983231,92.05698687,4.326587722,104.1743886,59.98890111,2.10114E-06,0.799346668
2023-06-26 02:00:00.000,73.79923602,30.5682771,106.8577878,19.3655086,92.07278299,4.230237403,106.2180345,60.29512103,2.10114E-06,0.847951798
2023-06-26 03:00:00.000,88.82533095,30.52559626,104.219034,20.65156781,92.03830825,4.262818715,103.4447534,59.23934138,2.10114E-06,0.583414375
2023-06-26 04:00:00.000,87.46295541,30.51185481,104.842275,20.58320061,91.93424992,4.255060301,104.0229998,58.9977944,2.10114E-06,1.018319674
2023-06-26 05:00:00.000,90.99844827,30.43811715,105.1153832,20.82280249,92.05040842,4.283110655,104.4863055,59.67129586,2.10114E-06,1.018441589
2023-06-26 06:00:00.000,88.59459821,30.38543845,105.3182123,20.47020146,91.95349478,4.281832448,104.7779716,59.82676386,2.10114E-06,0.849897575
2023-06-26 07:00:00.000,92.88052384,30.34214449,104.5503416,20.82270723,92.01698752,4.293365304,104.0253322,59.62911878,2.10114E-06,0.776775357
2023-06-26 08:00:00.000,96.39121771,30.81922124,104.7189075,21.22068886,91.92428221,4.343046738,104.1897496,59.99262934,2.10114E-06,0.91565829
2023-06-26 09:00:00.000,85.8753767,32.47205628,105.6717275,20.12944286,92.2042298,4.341045687,105.1416562,59.97557794,2.10114E-06,0.793036007
2023-06-26 10:00:00.000,90.37838369,34.22387784,104.5505357,20.59678972,92.0425828,4.382428502,104.0034627,59.0842886,2.10114E-06,0.762134061
2023-06-26 11:00:00.000,88.89154473,35.6874801,103.4003563,19.30224674,88.94641798,4.570227049,102.8194373,61.59199132,2.10114E-06,0.909386511
2023-06-26 12:00:00.000,93.15812473,35.84524884,104.9567539,21.319414,98.25897563,4.493267257,103.3827693,59.6495021,2.10114E-06,1.066803688
2023-06-26 13:00:00.000,94.93936532,36.07671526,105.3303285,21.81627089,101.334627,4.535940499,101.682642,59.30243335,2.10114E-06,1.003017621
2023-06-26 14:00:00.000,91.71386488,36.58483735,104.2331153,22.28443885,103.4935037,4.569088843,101.9456843,59.16803742,2.10114E-06,1.601549829
2023-06-26 15:00:00.000,87.25512158,36.50675013,107.3173509,21.50938862,102.762792,4.478639336,104.2012852,59.79186777,0.006258955,1.480122638
2023-06-26 16:00:00.000,90.20700177,36.19147447,106.0233149,22.29062123,103.1939013,4.517987457,101.7333791,60.73919628,0.109810544,1.109229616
2023-06-26 17:00:00.000,89.05418461,35.37238342,106.5841626,22.84963564,103.9742468,4.538473917,102.6821623,59.99677611,4.88281E-05,1.733774618
2023-06-26 18:00:00.000,90.04968658,35.57375794,108.2971897,22.53961424,104.5470095,4.542382292,105.1076118,59.87180961,0.121914508,1.574398371
2023-06-26 19:00:00.000,88.11978302,35.47399225,106.6937036,22.71293581,105.91712,4.592658397,103.0809484,59.53480859,0.045400111,1.182031229
2023-06-26 20:00:00.000,89.90617441,34.92925442,103.9406607,22.9649094,107.665308,4.603239281,102.3349402,58.92588697,1.56616E-05,1.558967369
2023-06-26 21:00:00.000,90.11082783,34.43095016,103.1281335,23.0006617,109.3910767,4.60343321,102.18238,58.79291834,1.56616E-05,1.604045879
2023-06-26 22:00:00.000,88.26076961,34.04316725,103.6258932,22.99885683,109.9630078,4.571678924,101.7381948,58.39357243,1.56616E-05,1.525591791
2023-06-26 23:00:00.000,89.25037526,33.77497978,102.4021168,23.21228308,109.8581478,4.596380675,101.8583815,58.74803857,1.56616E-05,1.885865473
2023-06-27 00:00:00.000,91.29858038,33.56998125,103.7406231,23.71867567,110.0057823,4.599379529,103.2983925,59.19020401,1.56616E-05,1.775925182
2023-06-27 01:00:00.000,91.56024204,33.4659587,104.0617547,23.88993454,109.9816811,4.608964746,103.6442887,59.42225969,1.56616E-05,1.59433188
2023-06-27 02:00:00.000,91.53062418,33.32384411,104.4381891,23.93896506,109.9839539,4.613003802,104.0749204,59.57482487,1.56616E-05,1.498880891
2023-06-27 03:00:00.000,90.89519713,33.18583435,103.9739526,23.96424477,110.0220602,4.610007863,103.557124,59.39306032,1.56616E-05,1.348643596
2023-06-27 04:00:00.000,92.16772421,33.04652254,103.9392521,23.9827168,109.9937827,4.587473963,103.5824686,59.3938634,1.56616E-05,1.28934021
2023-06-27 05:00:00.000,91.50866892,32.93017165,104.0725947,23.95956237,109.9633266,4.557823809,103.7990744,59.05707866,1.56616E-05,1.313856871
2023-06-27 06:00:00.000,90.98989264,32.89187533,103.7591795,23.97233042,110.0443885,4.552946626,103.6166842,58.78303122,1.56616E-05,1.277345602
2023-06-27 07:00:00.000,90.48558196,32.76583528,104.1549023,23.99053841,109.9512319,4.549852743,103.9101951,58.97647482,1.56616E-05,1.206611341
2023-06-27 08:00:00.000,91.78581893,32.3754506,104.0630974,23.97360718,109.9222666,4.521979094,103.7541661,59.04584361,1.56616E-05,1.191215419
2023-06-27 09:00:00.000,90.74336714,33.28941177,103.7971091,23.83191902,109.024485,4.479801479,103.6730961,58.4676714,1.56616E-05,1.257407019
